City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
54,port elizabeth,-33.918,25.5701,23.939999999999998,82,75,1.03,ZA,1701586574,-249.20999999999998
55,nyagan,62.1406,65.3936,-16.389999999999986,91,100,4.73,RU,1701586575,-289.53999999999996
56,nagqu,31.5,92.0,-1.1499999999999773,15,100,7.62,CN,1701586576,-274.29999999999995
57,tura,25.5198,90.2201,27.370000000000005,40,90,1.42,IN,1701586578,-245.77999999999997
58,nili,33.7218,66.1302,8.400000000000034,43,35,0.67,AF,1701586579,-264.74999999999994
59,port alfred,-33.5906,26.891,19.54000000000002,96,100,0.89,ZA,1701586580,-253.60999999999996
60,khanty-mansiysk,61.0042,69.0019,-14.939999999999998,72,40,4.0,RU,1701586581,-288.09
61,st. john's,47.5649,-52.7093,2.2100000000000364,92,75,3.13,CA,1701586322,-270.93999999999994
62,longyearbyen,78.2186,15.6401,-7.089999999999975,86,75,3.09,SJ,1701586328,-280.23999999999995
63,ilhabela,-23.7781,-45.3581,23.090000000000032,89,62,1.54,BR,1701586584,-250.05999999999995
64,college,64.8569,-147.8028,-23.279999999999973,83,9,1.02,US,1701586585,-296.42999999999995
65,mazamet,43.49,2.373,2.0300000000000296,76,100,1.88,FR,1701586503,-271.11999999999995
66,lebu,-37.6167,-73.65,9.230000000000018,74,0,8.72,CL,1701586587,-263.91999999999996
67,west island,-12.1568,96.8225,28.99000000000001,61,22,5.14,CC,1701586588,-244.15999999999997
68,san juan de miraflores,-12.1629,-76.9635,18.29000000000002,86,93,2.05,PE,1701586590,-254.85999999999996
69,albertina,-22.2008,-46.6158,19.360000000000014,67,49,1.04,BR,1701586591,-253.78999999999996
70,asosa,10.0667,34.5333,25.010000000000048,33,98,2.63,ET,1701586592,-248.13999999999993
71,holualoa,19.6228,-155.9522,22.700000000000045,90,21,0.45,US,1701586593,-250.44999999999993
72,bredasdorp,-34.5322,20.0403,20.600000000000023,47,28,5.91,ZA,1701586594,-252.54999999999995
73,kingston,17.997,-76.7936,26.53000000000003,94,20,3.6,JM,1701586595,-246.61999999999995
74,sinjai,-5.1241,120.253,31.470000000000027,61,10,4.02,ID,1701586596,-241.67999999999995
75,shimoda,34.6667,138.95,14.200000000000045,57,3,12.33,JP,1701586597,-258.94999999999993
76,pitimbu,-7.4706,-34.8086,25.33000000000004,84,100,3.45,BR,1701586598,-247.81999999999994
77,wajir,1.7471,40.0573,27.980000000000018,69,0,2.06,KE,1701586599,-245.16999999999996
78,sitka,57.0531,-135.33,2.9399999999999977,92,66,2.64,US,1701586600,-270.21
79,carnarvon,-24.8667,113.6333,26.840000000000032,57,0,9.57,AU,1701586601,-246.30999999999995
80,ambikapur,23.1167,83.2,26.700000000000045,46,100,2.59,IN,1701586602,-246.44999999999993
81,panitian,9.0965,118.0864,29.140000000000043,75,85,4.78,PH,1701586604,-244.00999999999993
82,ilulissat,69.2167,-51.1,-13.099999999999966,72,100,2.58,GL,1701586605,-286.24999999999994
83,san antonio de pale,-1.4014,5.6325,26.82000000000005,80,91,2.95,GQ,1701586606,-246.32999999999993
84,nova sintra,14.8667,-24.7167,22.52000000000004,78,77,7.84,CV,1701586607,-250.62999999999994
85,preobrazheniye,42.9019,133.9064,-0.8899999999999864,61,0,1.39,RU,1701586608,-274.03999999999996
86,bengkulu,-3.8004,102.2655,27.03000000000003,82,98,3.69,ID,1701586609,-246.11999999999995
87,coahuayana de hidalgo,18.7,-103.6583,24.220000000000027,76,100,1.63,MX,1701586610,-248.92999999999995
88,iskateley,67.6803,53.1512,-12.769999999999982,94,100,4.92,RU,1701586611,-285.91999999999996
89,donmatias,6.4857,-75.395,14.57000000000005,93,90,0.37,CO,1701586612,-258.5799999999999
90,cabo san lucas,22.8909,-109.9124,21.950000000000045,69,0,0.45,MX,1701586613,-251.19999999999993
91,fuyuan,46.4333,127.0833,-7.029999999999973,86,18,7.64,CN,1701586614,-280.17999999999995
92,aioun,16.6614,-9.6149,23.110000000000014,17,32,4.7,MR,1701586406,-250.03999999999996
93,thompson,55.7435,-97.8558,-9.909999999999968,92,75,1.54,CA,1701586617,-283.05999999999995
94,ancud,-41.8697,-73.8203,5.510000000000048,84,7,2.06,CL,1701586618,-267.63999999999993
95,brokopondo,4.75,-55.1667,23.80000000000001,92,74,2.92,SR,1701586619,-249.34999999999997
96,avarua,-21.2078,-159.775,24.03000000000003,83,40,2.57,CK,1701586620,-249.11999999999995
97,vilyuchinsk,52.9306,158.4028,-6.7099999999999795,83,59,1.92,RU,1701586621,-279.85999999999996
98,constantia,44.1833,28.65,9.379999999999995,70,100,3.06,RO,1701586622,-263.77
99,cesme,38.3228,26.3064,19.129999999999995,81,100,13.1,TR,1701586623,-254.01999999999998
100,vlore,40.4667,19.4897,15.740000000000009,76,100,3.0,AL,1701586333,-257.40999999999997
101,bolobo,-2.1667,16.2333,23.129999999999995,89,76,0.81,CD,1701586625,-250.01999999999998
102,isla mujeres,21.2311,-86.731,25.650000000000034,87,84,5.08,MX,1701586626,-247.49999999999994
103,guiuan,11.0333,125.7247,27.960000000000036,80,98,7.98,PH,1701586629,-245.18999999999994
104,glace bay,46.1969,-59.957,4.32000000000005,94,100,6.17,CA,1701586630,-268.8299999999999
105,moranbah,-22.0016,148.0466,26.370000000000005,68,100,12.53,AU,1701586631,-246.77999999999997
106,stanley,54.868,-1.6985,-0.8199999999999932,96,75,1.03,GB,1701586364,-273.96999999999997
107,sinan,34.8262,126.1086,8.060000000000002,62,5,5.61,KR,1701586633,-265.09
108,alice springs,-23.7,133.8833,37.75,16,19,5.14,AU,1701586634,-235.39999999999998
109,ciudad lazaro cardenas,17.9583,-102.2,24.910000000000025,78,98,1.62,MX,1701586636,-248.23999999999995
110,bethel,41.3712,-73.414,8.340000000000032,89,100,2.06,US,1701586637,-264.80999999999995
111,atafu village,-8.5421,-172.5159,28.33000000000004,73,100,5.63,TK,1701586638,-244.81999999999994
112,rabaul,-4.1967,152.1721,27.99000000000001,78,100,2.76,PG,1701586639,-245.15999999999997
113,invercargill,-46.4,168.35,10.370000000000005,59,7,6.71,NZ,1701586640,-262.78
114,la passe,45.5549,-0.8967,-0.8700000000000045,89,27,5.38,FR,1701586641,-274.02
115,al ain city,24.1917,55.7606,23.79000000000002,73,0,2.57,AE,1701586420,-249.35999999999996
116,olonkinbyen,70.9221,-8.7187,0.29000000000002046,94,72,7.38,SJ,1701586644,-272.85999999999996
117,wenxing,28.6667,112.8833,10.04000000000002,54,100,0.69,CN,1701586645,-263.10999999999996
118,mossel bay,-34.1831,22.146,18.960000000000036,74,97,4.54,ZA,1701586646,-254.18999999999994
119,muisne,0.6,-80.0333,24.930000000000007,82,100,2.96,EC,1701586648,-248.21999999999997
120,chenaran,36.6455,59.1212,15.450000000000045,23,10,2.95,IR,1701586650,-257.69999999999993
121,mount gambier,-37.8333,140.7667,18.670000000000016,62,100,4.53,AU,1701586651,-254.47999999999996
122,birzebbuga,35.8258,14.5269,17.860000000000014,67,0,5.14,MT,1701586652,-255.28999999999996
123,visby,57.6409,18.296,-0.8799999999999955,69,100,7.72,SE,1701586653,-274.03
124,tindouf,27.6711,-8.1474,9.25,66,0,3.09,DZ,1701586654,-263.9
125,puerto baquerizo moreno,-0.9,-89.6,23.480000000000018,85,76,5.18,EC,1701586655,-249.66999999999996
126,nishifukuma,33.7667,130.4667,14.050000000000011,48,7,3.15,JP,1701586656,-259.09999999999997
127,tolanaro,-25.0319,46.9987,26.04000000000002,50,40,5.66,MG,1701586657,-247.10999999999996
128,broken hill,-31.95,141.4333,28.640000000000043,18,0,3.66,AU,1701586660,-244.50999999999993
129,fale old settlement,-9.3852,-171.2468,28.439999999999998,72,100,6.32,TK,1701586662,-244.70999999999998
130,tra mhor,52.1624,-7.1524,4.230000000000018,84,100,1.79,IE,1701586663,-268.91999999999996
131,ploneour-lanvern,47.9,-4.2833,10.160000000000025,93,75,3.09,FR,1701586664,-262.98999999999995
132,nemuro,43.3236,145.575,3.7900000000000205,57,41,4.79,JP,1701586665,-269.35999999999996
133,iwon-up,40.3231,128.6553,2.7200000000000273,44,0,2.66,KP,1701586666,-270.42999999999995
134,dawei,14.0833,98.2,32.379999999999995,51,100,3.22,MM,1701586667,-240.76999999999998
135,anadyr,64.75,177.4833,-18.71999999999997,84,0,3.0,RU,1701586668,-291.86999999999995
136,remire-montjoly,4.9167,-52.2667,23.02000000000004,94,100,0.0,GF,1701586669,-250.12999999999994
137,tabuk,17.4189,121.4443,27.980000000000018,70,28,2.41,PH,1701586670,-245.16999999999996
138,sandnessjoen,66.0217,12.6316,-19.70999999999998,69,65,5.1,NO,1701586671,-292.85999999999996
139,brookings,44.3114,-96.7984,-0.8599999999999568,66,8,3.52,US,1701586673,-274.00999999999993
140,anapa,44.8908,37.3239,17.189999999999998,63,0,8.0,RU,1701586622,-255.95999999999998
141,road town,18.4167,-64.6167,26.860000000000014,73,6,7.49,VG,1701586404,-246.28999999999996
142,lorengau,-2.0226,147.2712,29.08000000000004,71,97,1.21,PG,1701586676,-244.06999999999994
143,whangarei,-35.7317,174.3239,18.79000000000002,94,99,2.11,NZ,1701586677,-254.35999999999996
144,vadso,70.0744,29.7487,0.09000000000003183,93,100,6.17,NO,1701586679,-273.05999999999995
145,wailua homesteads,22.0669,-159.378,21.53000000000003,83,1,1.98,US,1701586680,-251.61999999999995
146,petropavlovsk-kamchatsky,53.0452,158.6483,-7.529999999999973,76,75,3.58,RU,1701586473,-280.67999999999995
147,daru,-9.0763,143.2092,28.850000000000023,75,99,5.28,PG,1701586682,-244.29999999999995
148,trinity beach,-16.7888,145.6968,30.560000000000002,77,100,3.6,AU,1701586683,-242.58999999999997
149,chahar burj,34.2448,62.1917,16.120000000000005,29,0,0.69,AF,1701586684,-257.03
150,grand falls-windsor,48.9332,-55.6649,-1.3899999999999864,94,93,1.69,CA,1701586685,-274.53999999999996
151,kabalo,-6.05,26.9167,22.480000000000018,95,100,0.64,CD,1701586687,-250.66999999999996
152,georgetown,5.4112,100.3354,31.960000000000036,75,40,4.63,MY,1701586688,-241.18999999999994
153,bodo,67.28,14.405,-5.1299999999999955,64,0,7.2,NO,1701586689,-278.28
154,uturoa,-16.7333,-151.4333,27.480000000000018,78,78,8.89,PF,1701586690,-245.66999999999996
155,tambacounda,13.7539,-13.7586,25.210000000000036,19,100,3.41,SN,1701586691,-247.93999999999994
156,guerrero negro,27.9769,-114.0611,17.54000000000002,69,0,5.04,MX,1701586692,-255.60999999999996
157,kudahuvadhoo,2.6708,72.8944,27.439999999999998,80,100,4.98,MV,1701586693,-245.70999999999998
158,shush,32.1942,48.2436,20.900000000000034,29,0,1.12,IR,1701586694,-252.24999999999994
159,stung treng,13.5259,105.9683,32.879999999999995,49,100,2.63,KH,1701586695,-240.26999999999998
160,williamsburg,37.2707,-76.7075,15.439999999999998,87,100,0.0,US,1701586455,-257.71
161,port lincoln,-34.7333,135.8667,21.150000000000034,53,100,2.89,AU,1701586698,-251.99999999999994
162,rhinelander,45.6366,-89.4121,-0.15999999999996817,88,100,2.17,US,1701586699,-273.30999999999995
163,metlili chaamba,32.2667,3.6333,8.520000000000039,53,0,2.57,DZ,1701586700,-264.62999999999994
164,nobres,-14.7203,-56.3275,24.170000000000016,79,94,0.82,BR,1701586701,-248.97999999999996
165,ceeldheer,3.8488,47.1806,29.400000000000034,58,60,7.84,SO,1701586702,-243.74999999999994
166,ola,59.5833,151.2833,-15.819999999999993,87,100,3.88,RU,1701586703,-288.96999999999997
167,santiago del estero,-27.7951,-64.2615,22.720000000000027,95,100,5.54,AR,1701586705,-250.42999999999995
168,port mathurin,-19.6833,63.4167,25.689999999999998,86,75,8.62,MU,1701586706,-247.45999999999998
169,edd,13.9297,41.6925,30.58000000000004,41,33,6.25,ER,1701586707,-242.56999999999994
170,zhob,31.3411,69.4481,15.080000000000041,27,99,1.09,PK,1701586708,-258.06999999999994
171,punta arenas,-53.15,-70.9167,5.060000000000002,70,75,3.09,CL,1701586709,-268.09
172,colares,38.7992,-9.4469,10.740000000000009,88,91,3.13,PT,1701586710,-262.40999999999997
173,la'ie,21.6477,-157.9253,23.950000000000045,82,1,1.34,US,1701586711,-249.19999999999993
174,jinxiang,27.4327,120.6062,12.600000000000023,78,100,4.57,CN,1701586712,-260.54999999999995
175,port moresby,-9.4431,147.1797,28.680000000000007,79,40,5.14,PG,1701586517,-244.46999999999997
176,kuhmo,64.1333,29.5167,-14.099999999999966,99,90,0.95,FI,1701586714,-287.24999999999994
177,castillos,-34.1667,-53.8333,16.350000000000023,97,23,3.63,UY,1701586715,-256.79999999999995
178,lihue,21.9789,-159.3672,21.870000000000005,83,2,2.29,US,1701586716,-251.27999999999997
179,san pedro pochutla,15.7333,-96.4667,23.460000000000036,77,5,1.2,MX,1701586718,-249.68999999999994
180,mejit,10.2753,170.8646,27.210000000000036,77,75,8.33,MH,1701586719,-245.93999999999994
181,edinboro,41.8742,-80.1317,7.400000000000034,96,94,1.83,US,1701586720,-265.74999999999994
182,arraial do cabo,-22.9661,-42.0278,23.210000000000036,95,88,6.2,BR,1701586721,-249.93999999999994
183,belomorsk,64.5232,34.7668,-10.729999999999961,98,100,1.41,RU,1701586723,-283.87999999999994
184,coyhaique,-45.5752,-72.0662,4.340000000000032,75,100,1.03,CL,1701586724,-268.80999999999995
185,irtyshsk,53.3333,75.4572,2.5200000000000387,72,100,10.48,KZ,1701586725,-270.62999999999994
186,gunnedah,-30.9833,150.25,29.850000000000023,19,61,5.54,AU,1701586727,-243.29999999999995
187,ambodifotatra,-16.9833,49.85,25.03000000000003,94,100,8.23,MG,1701586728,-248.11999999999995
188,darwin,-12.4611,130.8418,31.08000000000004,74,100,1.54,AU,1701586478,-242.06999999999994
189,la ronge,55.1001,-105.2842,-9.859999999999957,92,75,2.06,CA,1701586730,-283.00999999999993
190,bulayevo,54.9056,70.4439,-3.339999999999975,93,100,10.24,KZ,1701586731,-276.48999999999995
191,khromtau,50.2503,58.4347,-2.7099999999999795,71,100,8.47,KZ,1701586732,-275.85999999999996
192,zouerate,22.7187,-12.4521,17.450000000000045,62,10,2.61,MR,1701586733,-255.69999999999993
193,ta`u,-14.2336,-169.5144,26.77000000000004,81,100,7.58,AS,1701586734,-246.37999999999994
194,lobito,-12.3481,13.5456,27.29000000000002,72,100,4.72,AO,1701586736,-245.85999999999996
195,cidreira,-30.1811,-50.2056,22.0,96,100,0.44,BR,1701586737,-251.14999999999998
196,talnakh,69.4865,88.3972,-33.18999999999997,90,10,0.77,RU,1701586738,-306.3399999999999
197,kapuskasing,49.4169,-82.4331,-14.949999999999989,92,0,1.03,CA,1701586739,-288.09999999999997
198,jamaame,0.0697,42.745,31.700000000000045,55,20,5.1,SO,1701586740,-241.44999999999993
199,bangassou,4.7413,22.8184,23.760000000000048,85,100,0.68,CF,1701586741,-249.38999999999993
200,merowe,18.4833,31.8167,26.25,28,0,4.96,SD,1701586742,-246.89999999999998
201,rechka-vydrino,51.485,104.8461,-1.9599999999999795,88,100,4.27,RU,1701586744,-275.10999999999996
202,kerikeri,-35.2268,173.9474,20.510000000000048,92,100,2.24,NZ,1701586745,-252.63999999999993
203,haiku-pauwela,20.9219,-156.3051,25.02000000000004,84,13,0.89,US,1701586746,-248.12999999999994
204,shahpura,27.3833,75.9667,23.220000000000027,42,29,1.53,IN,1701586747,-249.92999999999995
205,kill devil hills,36.0307,-75.676,20.0,97,100,2.06,US,1701586748,-253.14999999999998
206,dongola,19.1667,30.4833,23.590000000000032,20,0,5.68,SD,1701586749,-249.55999999999995
207,saudarkrokur,65.7461,-19.6394,-5.139999999999986,75,100,1.63,IS,1701586750,-278.28999999999996
208,male,4.1748,73.5089,30.970000000000027,74,40,6.17,MV,1701586543,-242.17999999999995
209,elliot lake,46.3834,-82.6331,-6.279999999999973,78,100,2.91,CA,1701586752,-279.42999999999995
210,hawaiian paradise park,19.5933,-154.9731,22.80000000000001,98,100,2.57,US,1701586753,-250.34999999999997
211,narvik,68.4384,17.4272,-7.079999999999984,82,66,2.89,NO,1701586664,-280.22999999999996
212,sao vicente,-23.9631,-46.3919,28.480000000000018,26,100,1.15,BR,1701586755,-244.66999999999996
213,saint-philippe,-21.3585,55.7679,27.840000000000032,84,84,4.44,RE,1701586757,-245.30999999999995
214,selfoss,63.9331,-20.9971,-2.909999999999968,57,100,4.6,IS,1701586758,-276.05999999999995
215,kirakira,-10.4544,161.9205,27.189999999999998,87,100,5.36,SB,1701586760,-245.95999999999998
216,pasni,25.2631,63.471,24.310000000000002,65,0,1.72,PK,1701586761,-248.83999999999997
217,chonchi,-42.6128,-73.8092,5.560000000000002,85,58,1.1,CL,1701586762,-267.59
218,belabo,4.9333,13.3,22.27000000000004,86,45,0.38,CM,1701586472,-250.87999999999994
219,kiunga,-6.1219,141.2906,26.640000000000043,95,99,1.32,PG,1701586765,-246.50999999999993
220,sanibel,26.449,-82.0223,23.33000000000004,95,82,1.79,US,1701586766,-249.81999999999994
221,tofol,5.3248,163.0078,28.58000000000004,79,100,8.71,FM,1701586767,-244.56999999999994
222,luderitz,-26.6481,15.1594,22.78000000000003,47,3,9.8,NA,1701586768,-250.36999999999995
223,macomb,40.4592,-90.6718,3.590000000000032,96,100,0.89,US,1701586770,-269.55999999999995
224,lazaro cardenas,17.9583,-102.2,24.910000000000025,78,98,1.62,MX,1701586771,-248.23999999999995
225,karratha,-20.7377,116.8463,29.49000000000001,58,0,8.78,AU,1701586772,-243.65999999999997
226,rocky mountain house,52.3668,-114.9188,-5.939999999999998,79,56,0.51,CA,1701586776,-279.09
227,westport,41.1415,-73.3579,9.620000000000005,92,100,3.6,US,1701586777,-263.53
228,fremantle,-32.05,115.7667,28.879999999999995,55,40,5.66,AU,1701586778,-244.26999999999998
229,phu khuong,11.2833,106.1333,30.140000000000043,60,100,0.69,VN,1701586779,-243.00999999999993
230,alta,69.9689,23.2717,-10.409999999999968,83,100,1.03,NO,1701586780,-283.55999999999995
